Accelerometer offset and scaling compensation: Yes
Gyroscope offset and scaling compensation: Yes
Gyroscope temperature compensation: Yes
Magnetometer hard and soft distortion compensation: Yes
Magnetometer temperature compensation: No
Board calibrated: Yes
Board ID: kj
Accelerometer X min / max: -260.0 / 282.0
Accelerometer Y min / max: -263.0 / 272.0
Accelerometer Z min / max: -281.0 / 249.0
Gyroscope offset X,Y,Z: 8.255013465881348,16.973146438598633,-1.4700441360473633
Gyroscope working temperature: 27.0
Gyroscope temperature sensitivity X,Y,Z: -1.9626615047454834,2.1757822036743164,0.9494237303733826
Magnetometer ellipsoid center: {202.7376251220703,-65.81422424316406,-45.212284088134766}
Magnetometer ellipsoid transform:
{{0.751169741153717,0.050235334783792496,0.05019034817814827},
{0.050235334783792496,0.9106737375259399,-0.02702086791396141},
{0.05019034817814827,-0.02702086791396141,0.9862745404243469}}
Magnetometer working temperature: 30.66659927368164
Magnetometer temperature sensitivity: {-0.16600576043128967,0.12337405234575272,1.5230705738067627}
temp,ax,ay,az,mx,my,mz,gx,gy,gz
31.689285278320312,-256.94464111328125,-22.48971939086914,39.607547760009766,-407.5931701660156,8.541183471679688,-135.25152587890625,-134.05154418945312,-38.17601013183594,97.01792907714844
31.674999237060547,-260.7232360839844,-34.930843353271484,41.53962326049805,-407.9424133300781,16.714035034179688,-136.5311737060547,-135.07957458496094,-63.144927978515625,66.031494140625
31.72142791748047,-267.3357849121094,-43.54392623901367,43.47169876098633,-407.99267578125,14.865663528442383,-135.49085998535156,-85.98844909667969,-75.24594116210938,23.987407684326172
31.671428680419922,-267.3357849121094,-36.8448600769043,31.87924575805664,-408.7940979003906,13.904756546020508,-135.5140380859375,-2.086580276489258,-76.13715362548828,3.034878730773926
31.639286041259766,-261.66790771484375,-22.48971939086914,29.94717025756836,-408.1935729980469,12.160662651062012,-136.3960723876953,79.85033416748047,-64.06722259521484,37.06539535522461
31.657142639160156,-256.94464111328125,-18.66168212890625,32.84528350830078,-409.6958923339844,12.997886657714844,-137.50975036621094,112.88538360595703,-58.10607147216797,99.04844665527344
31.703571319580078,-255.05535888671875,-23.44672966003418,38.641510009765625,-408.74395751953125,12.94003963470459,-133.51446533203125,104.97650909423828,-54.20709228515625,138.00436401367188
31.65357208251953,-256.0,-29.188785552978516,40.573585510253906,-412.24871826171875,15.366842269897461,-131.87393188476562,93.87837219238281,-46.098304748535156,142.0518341064453
31.700000762939453,-259.7785949707031,-36.8448600769043,42.50566101074219,-412.29888916015625,15.3938627243042,-132.86019897460938,112.96949768066406,-44.19932556152344,124.00775146484375
31.703571319580078,-260.7232360839844,-42.586917877197266,43.47169876098633,-412.34912109375,14.483187675476074,-132.8331756591797,150.97650146484375,-43.20709228515625,97.00436401367188
31.714284896850586,-260.7232360839844,-39.71588897705078,38.641510009765625,-412.24871826171875,15.366842269897461,-131.87393188476562,189.99752807617188,-49.23040008544922,75.99419403076172
31.689285278320312,-260.7232360839844,-36.8448600769043,36.709434509277344,-411.34686279296875,18.149099349975586,-131.90480041503906,213.94845581054688,-61.17601013183594,72.01792907714844
31.71071434020996,-259.7785949707031,-32.059814453125,33.81132125854492,-410.79656982421875,15.494332313537598,-132.75982666015625,218.9905242919922,-70.2226333618164,78.9975814819336
31.696428298950195,-258.8339538574219,-32.059814453125,30.9132080078125,-412.9496765136719,16.22728157043457,-131.95114135742188,208.9624786376953,-71.1915512084961,91.01114654541016
31.696428298950195,-256.94464111328125,-33.97383117675781,33.81132125854492,-410.6460266113281,15.413269996643066,-129.80099487304688,192.9624786376953,-69.1915512084961,97.01114654541016
31.657142639160156,-256.94464111328125,-36.8448600769043,36.709434509277344,-415.1529541015625,16.987247467041016,-132.12872314453125,179.8853759765625,-74.10607147216797,97.04844665527344
31.71071434020996,-254.11070251464844,-36.8448600769043,36.709434509277344,-412.24871826171875,15.366842269897461,-131.87393188476562,177.9905242919922,-84.2226333618164,89.9975814819336
31.678571701049805,-253.1660614013672,-33.016822814941406,36.709434509277344,-413.3492736816406,20.676372528076172,-130.16387939453125,181.92742919921875,-95.15269470214844,86.0280990600586
31.674999237060547,-251.27674865722656,-32.059814453125,38.641510009765625,-413.60040283203125,17.06069564819336,-131.0420684814453,188.92042541503906,-104.14492797851562,91.031494140625
31.671428680419922,-252.22140502929688,-27.27476692199707,38.641510009765625,-412.4977722167969,19.7348690032959,-127.12785339355469,191.9134063720703,-114.13715362548828,102.03488159179688
31.667858123779297,-253.1660614013672,-25.360748291015625,40.573585510253906,-413.299072265625,20.649351119995117,-129.1776123046875,183.90640258789062,-123.12938690185547,110.03826904296875
31.674999237060547,-256.94464111328125,-26.317758560180664,36.709434509277344,-415.15087890625,24.03325843811035,-125.49117279052734,172.92042541503906,-131.14492797851562,105.031494140625
31.69285774230957,-258.8339538574219,-24.40373992919922,37.675472259521484,-413.19873046875,19.65761375427246,-126.1917724609375,171.95547485351562,-136.18377685546875,93.01453399658203
31.72142791748047,-255.05535888671875,-23.44672966003418,38.641510009765625,-413.54815673828125,24.079689025878906,-123.41824340820312,180.0115509033203,-140.24594116210938,83.98741149902344
31.707141876220703,-254.11070251464844,-23.44672966003418,36.709434509277344,-417.70587158203125,17.48081398010254,-124.46632385253906,186.98350524902344,-146.21485900878906,84.0009765625
31.696428298950195,-254.11070251464844,-22.48971939086914,36.709434509277344,-416.5528869628906,22.941049575805664,-122.60570526123047,188.9624786376953,-150.19154357910156,87.01114654541016
