Accelerometer offset and scaling compensation: Yes
Gyroscope offset and scaling compensation: Yes
Gyroscope temperature compensation: Yes
Magnetometer hard and soft distortion compensation: Yes
Magnetometer temperature compensation: No
Board calibrated: Yes
Board ID: bi
Accelerometer X min / max: -270.0 / 260.0
Accelerometer Y min / max: -253.0 / 264.0
Accelerometer Z min / max: -264.0 / 244.0
Gyroscope offset X,Y,Z: 8.553489685058594,-1.048365831375122,-6.602116107940674
Gyroscope working temperature: 27.0
Gyroscope temperature sensitivity X,Y,Z: 1.6101593971252441,0.3485836088657379,-0.4774838387966156
Magnetometer ellipsoid center: {147.9890594482422,9.695574760437012,-10.700260162353516}
Magnetometer ellipsoid transform:
{{0.9488046765327454,0.008473112247884274,0.0013835603604093194},
{0.008473112247884274,0.9463281035423279,0.014430666342377663},
{0.0013835603604093194,0.014430666342377663,0.9958510994911194}}
Magnetometer working temperature: 28.337764739990234
Magnetometer temperature sensitivity: {-0.5617763996124268,0.4838758409023285,1.628998041152954}
temp,ax,ay,az,mx,my,mz,gx,gy,gz
28.30714225769043,-125.58490753173828,-90.6150894165039,205.60629272460938,-132.6457977294922,-335.0362854003906,248.306640625,-47.65819549560547,-85.40728759765625,-38.773746490478516
28.292858123779297,-115.92453002929688,-91.60541534423828,159.2440948486328,-136.4366912841797,-334.1671447753906,245.32798767089844,-228.63519287109375,-68.40230560302734,-54.78056716918945
28.14285659790039,-120.75471496582031,-106.4603500366211,171.3385772705078,-133.6072235107422,-336.03436279296875,245.3032684326172,-334.3936767578125,-18.350013732910156,-76.85218811035156
28.121429443359375,-128.48301696777344,-116.36363983154297,198.55117797851562,-135.53163146972656,-338.9047546386719,244.26136779785156,-339.35919189453125,10.657453536987305,-88.86241912841797
28.110713958740234,-134.2792510986328,-139.14120483398438,214.6771697998047,-132.6895294189453,-339.7823486328125,247.23863220214844,-216.3419189453125,-6.338810920715332,-83.8675308227539
28.157142639160156,-132.34716796875,-132.2089080810547,216.6929168701172,-136.45068359375,-335.1711730957031,241.3301544189453,-30.41667366027832,-37.35499572753906,-74.8453598022461
28.196428298950195,-130.41510009765625,-115.3733139038086,221.73228454589844,-132.6796875,-338.82159423828125,248.24891662597656,181.52008056640625,-68.36869049072266,-83.82660675048828
28.15357208251953,-123.65283203125,-100.51837921142578,216.6929168701172,-135.48236083984375,-334.1009826660156,249.31277465820312,320.5890808105469,-91.35375213623047,-84.8470687866211
28.18214225769043,-113.9924545288086,-88.63442993164062,212.6614227294922,-135.49082946777344,-335.04730224609375,249.29835510253906,350.5430603027344,-101.36371612548828,-124.83342742919922
28.16428565979004,-110.12830352783203,-85.66344451904297,213.66929626464844,-135.48374938964844,-334.1153869628906,248.31690979003906,292.5718078613281,-98.35749053955078,-156.8419647216797
28.132143020629883,-109.16226196289062,-84.6731185913086,208.62991333007812,-133.5975341796875,-335.933349609375,252.2742156982422,83.62358093261719,-84.34628295898438,-189.85731506347656
28.157142639160156,-109.16226196289062,-83.68278503417969,210.6456756591797,-131.70130920410156,-335.93084716796875,251.28114318847656,-3.4166736602783203,-53.35499572753906,-220.84536743164062
28.14285659790039,-110.12830352783203,-85.66344451904297,214.6771697998047,-129.79660034179688,-334.9820251464844,250.30250549316406,-68.39366912841797,-46.350013732910156,-241.85218811035156
28.18214225769043,-106.26415252685547,-92.59574890136719,207.62203979492188,-131.6815948486328,-334.00933837890625,253.30169677734375,-116.45692443847656,-27.36370849609375,-242.83343505859375
28.167858123779297,-100.46792602539062,-99.52804565429688,191.49606323242188,-128.84918212890625,-334.98797607421875,249.3080291748047,-96.43392944335938,2.6412696838378906,-230.8402557373047
28.149999618530273,-98.53585052490234,-95.56673431396484,187.46456909179688,-127.92579650878906,-337.8184814453125,249.26612854003906,-14.405172348022461,48.64749526977539,-210.84878540039062
28.189285278320312,-98.53585052490234,-96.55706024169922,192.50393676757812,-128.89016723632812,-339.7051696777344,250.2317352294922,67.53157043457031,91.63379669189453,-185.83001708984375
28.292858123779297,-103.36604309082031,-96.55706024169922,197.54330444335938,-133.61172485351562,-337.7971496582031,254.237060546875,137.36480712890625,123.59769439697266,-168.7805633544922
28.22857093811035,-106.26415252685547,-89.62476348876953,202.58267211914062,-132.65858459472656,-336.88568115234375,251.26531982421875,178.46832275390625,146.6201171875,-163.81126403808594
28.135713577270508,-110.12830352783203,-89.62476348876953,203.59054565429688,-130.7694549560547,-337.8150329589844,251.253662109375,180.61782836914062,167.65248107910156,-163.85560607910156
28.15357208251953,-112.06037902832031,-90.6150894165039,207.62203979492188,-129.822021484375,-337.8210144042969,250.25921630859375,161.58908081054688,183.64625549316406,-167.84707641601562
28.157142639160156,-112.06037902832031,-90.6150894165039,207.62203979492188,-133.6129150390625,-336.95184326171875,247.28054809570312,142.58331298828125,196.64500427246094,-170.84536743164062
28.21428680419922,-112.06037902832031,-93.58607482910156,211.65354919433594,-131.70700073242188,-336.84832763671875,253.25840759277344,112.49131774902344,204.62509155273438,-171.81808471679688
28.207141876220703,-112.06037902832031,-93.58607482910156,214.6771697998047,-135.50637817382812,-336.925537109375,250.2653350830078,84.50282287597656,205.62757873535156,-169.82150268554688
28.14642906188965,-113.9924545288086,-97.54739379882812,211.65354919433594,-130.79348754882812,-340.63958740234375,252.2062225341797,68.60057830810547,202.64874267578125,-169.85049438476562
28.246429443359375,-113.02641296386719,-98.5377197265625,207.62203979492188,-134.53216552734375,-334.07806396484375,250.3100128173828,54.43955993652344,198.6138916015625,-174.802734375
